timestamp,schema,version,origin,provider,spec,status
2020-02-01T16:14:00,binderhub.jupyter.org/launch,3,gke.mybinder.org,GitHub,fangohr/coronavirus-2020/master,success
2020-02-01T16:39:00,binderhub.jupyter.org/launch,3,gke.mybinder.org,GitHub,fangohr/coronavirus-2020/master,success
2020-02-01T16:57:00,binderhub.jupyter.org/launch,3,gke.mybinder.org,GitHub,fangohr/coronavirus-2020/master,success
2020-02-01T17:25:00,binderhub.jupyter.org/launch,3,gke.mybinder.org,GitHub,fangohr/coronavirus-2020/master,success
2020-02-01T19:14:00,binderhub.jupyter.org/launch,3,gke.mybinder.org,GitHub,fangohr/coronavirus-2020/master,success
2020-02-01T19:36:00,binderhub.jupyter.org/launch,3,gke.mybinder.org,GitHub,fangohr/coronavirus-2020/master,success
2020-02-01T23:24:00,binderhub.jupyter.org/launch,3,gke.mybinder.org,GitHub,fangohr/coronavirus-2020/master,success
2020-02-02T00:44:00,binderhub.jupyter.org/launch,3,gke.mybinder.org,GitHub,fangohr/coronavirus-2020/master,success
2020-02-02T03:21:00,binderhub.jupyter.org/launch,3,gke.mybinder.org,GitHub,fangohr/coronavirus-2020/master,success
2020-02-02T03:24:00,binderhub.jupyter.org/launch,3,gke.mybinder.org,GitHub,fangohr/coronavirus-2020/master,success
2020-02-02T07:38:00,binderhub.jupyter.org/launch,3,gke.mybinder.org,GitHub,fangohr/coronavirus-2020/master,success
2020-02-02T07:38:00,binderhub.jupyter.org/launch,3,gke.mybinder.org,GitHub,fangohr/coronavirus-2020/master,success
2020-02-02T08:43:00,binderhub.jupyter.org/launch,3,gke.mybinder.org,GitHub,fangohr/coronavirus-2020/master,success
2020-02-02T13:27:00,binderhub.jupyter.org/launch,3,gke.mybinder.org,GitHub,fangohr/coronavirus-2020/master,success
2020-02-02T14:45:00,binderhub.jupyter.org/launch,3,gke.mybinder.org,GitHub,fangohr/coronavirus-2020/master,success
2020-02-02T15:13:00,binderhub.jupyter.org/launch,3,gke.mybinder.org,GitHub,fangohr/coronavirus-2020/master,success
2020-02-02T16:54:00,binderhub.jupyter.org/launch,3,gke.mybinder.org,GitHub,fangohr/coronavirus-2020/master,success
2020-02-03T00:14:00,binderhub.jupyter.org/launch,3,gke.mybinder.org,GitHub,fangohr/coronavirus-2020/master,success
2020-02-03T00:44:00,binderhub.jupyter.org/launch,3,gke.mybinder.org,GitHub,fangohr/coronavirus-2020/master,success
2020-02-03T08:55:00,binderhub.jupyter.org/launch,3,gke.mybinder.org,GitHub,fangohr/coronavirus-2020/master,success
2020-02-03T09:28:00,binderhub.jupyter.org/launch,3,gke.mybinder.org,GitHub,fangohr/coronavirus-2020/master,success
2020-02-03T09:37:00,binderhub.jupyter.org/launch,3,gke.mybinder.org,GitHub,fangohr/coronavirus-2020/master,success
2020-02-03T11:07:00,binderhub.jupyter.org/launch,3,gke.mybinder.org,GitHub,fangohr/coronavirus-2020/master,success
2020-02-04T20:46:00,binderhub.jupyter.org/launch,3,gke.mybinder.org,GitHub,fangohr/coronavirus-2020/master,success
2020-02-05T10:22:00,binderhub.jupyter.org/launch,3,gke.mybinder.org,GitHub,fangohr/coronavirus-2020/master,success
2020-02-05T10:24:00,binderhub.jupyter.org/launch,3,gke.mybinder.org,GitHub,fangohr/coronavirus-2020/master,success
2020-02-06T03:18:00,binderhub.jupyter.org/launch,3,gke.mybinder.org,GitHub,fangohr/coronavirus-2020/master,success
2020-02-06T03:44:00,binderhub.jupyter.org/launch,3,gke.mybinder.org,GitHub,fangohr/coronavirus-2020/master,success
2020-02-06T03:44:00,binderhub.jupyter.org/launch,3,gke.mybinder.org,GitHub,fangohr/coronavirus-2020/master,success
2020-02-06T03:49:00,binderhub.jupyter.org/launch,3,gke.mybinder.org,GitHub,fangohr/coronavirus-2020/master,success
2020-02-06T04:39:00,binderhub.jupyter.org/launch,3,gke.mybinder.org,GitHub,fangohr/coronavirus-2020/master,success
2020-02-06T04:58:00,binderhub.jupyter.org/launch,3,gke.mybinder.org,GitHub,fangohr/coronavirus-2020/master,success
2020-02-06T12:43:00,binderhub.jupyter.org/launch,3,gke.mybinder.org,GitHub,fangohr/coronavirus-2020/master,success
2020-02-06T13:15:00,binderhub.jupyter.org/launch,3,gke.mybinder.org,GitHub,fangohr/coronavirus-2020/master,success
2020-02-07T01:18:00,binderhub.jupyter.org/launch,3,gke.mybinder.org,GitHub,nomissbowling/newtypecorona/master,success
2020-02-07T01:40:00,binderhub.jupyter.org/launch,3,gke.mybinder.org,GitHub,nomissbowling/newtypecorona/a4b05ebce54df037387697c34df08e3c50172cef,success
2020-02-07T07:26:00,binderhub.jupyter.org/launch,3,gke.mybinder.org,GitHub,fangohr/coronavirus-2020/master,success
2020-02-07T09:19:00,binderhub.jupyter.org/launch,3,gke.mybinder.org,GitHub,fangohr/coronavirus-2020/master,success
2020-02-07T22:00:00,binderhub.jupyter.org/launch,3,gke.mybinder.org,GitHub,fangohr/coronavirus-2020/master,success
2020-02-08T17:34:00,binderhub.jupyter.org/launch,3,gke.mybinder.org,GitHub,fangohr/coronavirus-2020/master,success
2020-02-08T18:31:00,binderhub.jupyter.org/launch,3,gke.mybinder.org,GitHub,fangohr/coronavirus-2020/master,success
2020-02-09T02:20:00,binderhub.jupyter.org/launch,3,gke.mybinder.org,GitHub,fangohr/coronavirus-2020/master,success
2020-02-09T15:38:00,binderhub.jupyter.org/launch,3,gke.mybinder.org,GitHub,fangohr/coronavirus-2020/master,success
2020-02-10T04:02:00,binderhub.jupyter.org/launch,3,turing.mybinder.org,GitHub,EXYNOS-999/corona_prophet/master,success
2020-02-10T05:15:00,binderhub.jupyter.org/launch,3,gke.mybinder.org,GitHub,fangohr/coronavirus-2020/master,success
2020-02-10T08:49:00,binderhub.jupyter.org/launch,3,gke.mybinder.org,GitHub,fangohr/coronavirus-2020/master,success
2020-02-10T12:09:04.444949,binderhub.jupyter.org/launch,3,notebooks.gesis.org,GitHub,mfreeborn/coronavirus-tracker/372a4c40e28263c23e835705445d206e07c9c3d1,success
2020-02-10T16:48:00,binderhub.jupyter.org/launch,3,gke.mybinder.org,GitHub,EXYNOS-999/corona_prophet/master,success
2020-02-11T17:43:00,binderhub.jupyter.org/launch,3,gke.mybinder.org,GitHub,fangohr/coronavirus-2020/master,success
2020-02-11T19:05:04.113241,binderhub.jupyter.org/launch,3,notebooks.gesis.org,GitHub,mfreeborn/coronavirus-tracker/master,success
2020-02-12T09:25:00,binderhub.jupyter.org/launch,3,gke.mybinder.org,GitHub,fangohr/coronavirus-2020/master,success
2020-02-12T09:45:00,binderhub.jupyter.org/launch,3,gke.mybinder.org,GitHub,arka1985/covid2019/master,success
2020-02-12T10:09:00,binderhub.jupyter.org/launch,3,gke.mybinder.org,GitHub,sbl-sdsc/coronavirus-knowledge-graph/master,success
2020-02-12T10:12:00,binderhub.jupyter.org/launch,3,gke.mybinder.org,GitHub,sbl-sdsc/coronavirus-knowledge-graph/master,success
2020-02-12T10:37:15.614117,binderhub.jupyter.org/launch,3,notebooks.gesis.org,GitHub,mfreeborn/coronavirus-tracker/master,success
